97,j-pop girl group,4OfU76YhPU04wlmbVFFgTJ,ATARASHII GAKKO!,59,463454,j-pop
98,j-pop,4L9VSeE7K3BTBndqEL9A6q,Nissy,51,519177,j-pop
99,"c(""j-pop"", ""j-punk"", ""j-rock"", ""japanese punk rock [...]",2zUQjYvy0TevSi4d3PjqQO,MONGOL800,51,733945,j-pop
100,japanese viral pop,0psEe4IooMjolOPMrz9A5M,YOAKE,53,45702,j-pop
101,classic j-pop,3PbLpi4wzurD94SXDhVQmQ,TUBE,51,211023,j-pop
102,"c(""anime"", ""j-pop"")",5YneEA2nLtAhkD5t2769lZ,Ikimonogakari,58,1246597,j-pop
103,"c(""hyperpop"", ""japanese dance pop"", ""japanese elec [...]",0bp9CvkjQYhUJvWRHjFRWI,WEDNESDAY CAMPANELLA,52,250357,j-pop
104,"c(""classic j-pop"", ""j-pop"", ""japanese singer-songw [...]",6jIhEiXcCAyBsuEI7qZ9vc,Ken Hirai,51,865632,j-pop
105,"c(""j-pop"", ""j-poprock"")",5WBO8UyOuJ1l7ZBqqBimpO,YUI,55,468226,j-pop
106,"c(""classic j-pop"", ""j-acoustic"", ""j-pop"", ""j-rock"" [...]",7sl3PZyhzAqUpL3M6WVD8G,Kazuyoshi Saito,50,441881,j-pop
107,"c(""classic j-pop"", ""j-pop"")",00AFbqxvdDK6T1D6MQZ9c1,GLAY,50,514765,j-pop
108,japanese pop rap,6xiT2jISLeWrj8udndxqW4,SugLawd Familiar,51,26241,j-pop
109,"c(""anime"", ""classic j-pop"", ""j-pop"", ""visual kei"")",6jTjjAjvYvMYfaqi837p5x,L'Arc-en-Ciel,54,783891,j-pop
110,"c(""anime"", ""classic j-pop"", ""j-pop"", ""j-rock"")",7unNuvk3OEqGmegHTaxRA9,JUDY AND MARY,51,663019,j-pop
111,"c(""classic j-pop"", ""j-acoustic"", ""j-pop"", ""japanes [...]",5FGlhIQqewJRV8fx24toG0,Masaharu Fukuyama,50,827878,j-pop
112,j-pop girl group,0Ti7MfCiVVQAK8zLSiqlto,櫻坂46,51,122498,j-pop
113,"c(""anime"", ""j-pop"", ""j-rock"")",6KQWWzFLPQbqomJrieHAW5,Tokyo Incidents,51,754563,j-pop
114,japanese teen pop,7KSbqXHO0xzNQhzaIWILIo,音田 雅則,51,54007,j-pop
115,j-pop,0llYwFIMgF9Jzmp4ZY7wbr,KOBUKURO,51,1304284,j-pop
116,japanese teen pop,7oQ6zxSp4eQjvVkk9rGIDV,マルシィ,51,119552,j-pop
117,"c(""48g"", ""j-idol"", ""j-pop"", ""j-pop girl group"")",01wau5CL3Z1vfJJWkzBkqg,AKB48,54,435513,j-pop
118,"c(""j-division"", ""j-pop"", ""j-pop boy group"")",4HfuyMMy295oBvbIuXr0v8,GENERATIONS from EXILE TRIBE,51,701296,j-pop
119,"c(""anime"", ""j-pop"", ""j-rock"")",3PWp9R5HvbQgxI5KBx5kVd,KANA-BOON,59,900946,j-pop
120,"c(""city pop"", ""j-indie"", ""japanese electropop"", ""j [...]",2V8UZPMR1EbkXhzvEGBTrV,Lucky Kilimanjaro,51,103339,j-pop
121,j-pop,0aD7NQx7yauKlVDnqOxk6q,AI,50,767237,j-pop
122,"c(""j-pop"", ""japanese singer-songwriter"")",22FsmLO3ZyvgWBy5QbfcQi,ayaka,50,1022335,j-pop
123,"c(""j-acoustic"", ""j-pop"", ""j-rock"", ""japanese singe [...]",706WzkJEacBrtkHKRpBU2q,Motohiro Hata,53,999640,j-pop
